name,services,location,phone,hours,promo,title,latitude,longitude,located_in,category_name,search_string,address,city,website,total_score,url,image_url,description,source_file,place_id,hours_summary
Hospital Climetecla,Hospital privado,Santa Tecla,+503 2228-2041,,,Hospital Climetecla,13.6780804,-89.2890654,,Hospital privado,Clínica Veterinaria,"MPH6+69M, 2 Avenida Norte, Santa Tecla, El Salvador",Santa Tecla,https://www.facebook.com/climetecla/,4,https://www.google.com/maps/search/?api=1&query=Hospital%20Climetecla&query_place_id=ChIJjy-jw4cvY48RQP6oCQ-Fva4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF1o0Q00u4FhDSyIxAzVG32JgdZJf5x5IvdczyUGt9tqfPEyFfuI0QAYOetluLrFDbNdbMUx0xxLaYmbxVly7jd-DAgxCy2srPN8MrruieqNkbjWxAn0kNyr8cK0ivUcEP2SIKU=w408-h544-k-no,,Hospitales,ChIJjy-jw4cvY48RQP6oCQ-Fva4,
Hospital San Mateo,Hospital privado,Lourdes,+503 2318-4848,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Hospital San Mateo,13.7246033,-89.3685245,,Hospital privado,Clínica Veterinaria,"2da Calle Oriente 1-21, Lourdes, El Salvador",Lourdes,https://www.facebook.com/hospitalsanmateo,3.7,https://www.google.com/maps/search/?api=1&query=Hospital%20San%20Mateo&query_place_id=ChIJU0Z4sHkoY48RK4WYnL2lRig,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDj69BY1x6ON_KQMficGc24ORCtwGf_Xb5iWMt7ry380CNotATAjmay4HjLmrgL0d-1kTojoHqt-kcrmo4aPRGMmll1qWow2wA435bHImAIEa5oNgasc_toFPmmtkbbUppVu-aDA=w408-h385-k-no,,Hospitales,ChIJU0Z4sHkoY48RK4WYnL2lRig,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
Mascotic Clinica Veterinaria Radiologica,Hospital veterinario,San Miguel,+503 7877-6228,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Mascotic Clinica Veterinaria Radiologica,13.486923,-88.1863256,,Hospital veterinario,Clínica Veterinaria,"AV Roosevelt 519, San Miguel, El Salvador",San Miguel,http://mascoticclinicaveterinaria.bewe.site/,3.7,https://www.google.com/maps/search/?api=1&query=Mascotic%20Clinica%20Veterinaria%20Radiologica&query_place_id=ChIJLbL1bPgre48RVWUqlyXLLvQ,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrtRVdy4MOuY9IrtnBRyfdpjvcKqD5MOYVOWhsbSAJzGHBbcIGO2vueJCb7qir96kiV5zLxFIow4nZQzKNEIBbJ3wLt55n73kFLIszW5n6nmjdF0TD1L5HmuSpFa39MIlixUM=w408-h724-k-no,,Hospitales,ChIJLbL1bPgre48RVWUqlyXLLvQ,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
Clinica de Diagnostico Vicentina,Hospital veterinario,San Vicente,+503 2334-0534,jueves: 8 AM a 5 PM; viernes: 8 AM a 5 PM; sábado: 8 AM a 5 PM; domingo: Cerrado; lunes: 8 AM a 5 PM; martes: 8 AM a 5 PM; miércoles: 8 AM a 5 PM,,Clinica de Diagnostico Vicentina,13.6458207,-88.780995,,Hospital veterinario,Clínica Veterinaria,"5A Calle Oriente, San Vicente, El Salvador",San Vicente,,4.5,https://www.google.com/maps/search/?api=1&query=Clinica%20de%20Diagnostico%20Vicentina&query_place_id=ChIJG1Qh2uSpZI8RUc55yi4f8c0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHeC9wBmUPuQQm83VIqUZg-djtZ9XelDTxURJzg7Q7-TRRMbfTXqAmdjq0OxouVQq21tE3kwcRZAZrpZp8YtzvhLMgxX-tvCIKNwPb1UC5qeQCDg4tgkUfaq1pQZFG2jGTW5Za8=w426-h240-k-no,,Hospitales,ChIJG1Qh2uSpZI8RUc55yi4f8c0,jueves: 8 AM a 5 PM; viernes: 8 AM a 5 PM; sábado: 8 AM a 5 PM; domingo: Cerrado; lunes: 8 AM a 5 PM; martes: 8 AM a 5 PM; miércoles: 8 AM a 5 PM
Clínica Veterinaria de Oriente,Hospital veterinario,san miguel,+503 6867-6136,jueves: 8 AM a 5 a.m.; viernes: 8 AM a 5 a.m.; sábado: 8 AM a 12 PM; domingo: Cerrado; lunes: 8 AM a 5 a.m.; martes: 8 AM a 5 a.m.; miércoles: 8 AM a 5 a.m.,,Clínica Veterinaria de Oriente,13.7526729,-89.1682502,,Hospital veterinario,Clínica Veterinaria,"san miguel, avenida betania casa # 3, san miguel, El Salvador",san miguel,,,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Veterinaria%20de%20Oriente&query_place_id=ChIJfXfmBSA5Y48RpYAIREH-wG0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnOYiB_jjxaIcOOZHk42-IUdYtXILOhXLd2arQXGC7FB712ETLouvgLV4GuEey-pAecyUcRveyk3lBhHOtIaGsP1xpH1B3mAf6EIEchnVplWfIbX1QA2X6nIzG1ZpEnJ7qxUNuzA=w426-h240-k-no,,Hospitales,ChIJfXfmBSA5Y48RpYAIREH-wG0,jueves: 8 AM a 5 a.m.; viernes: 8 AM a 5 a.m.; sábado: 8 AM a 12 PM; domingo: Cerrado; lunes: 8 AM a 5 a.m.; martes: 8 AM a 5 a.m.; miércoles: 8 AM a 5 a.m.
Hospital Veterinario Giovanni de Letran,Hospital veterinario,San Salvador,+503 2284-0748,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Hospital Veterinario Giovanni de Letran,13.7222741,-89.2165699,,Hospital veterinario,Clínica Veterinaria,"Calle Bernal, San Salvador, El Salvador",San Salvador,,4.4,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Giovanni%20de%20Letran&query_place_id=ChIJPWAuiXkwY48RI61aHTBFyi0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGAV7l1N0nE6Hb1kP5RKcs2cNWjhV8xuFd8NpfP-FBzzeVjE4iWRL7SBoKD8K0sJQL67N1E_WQwoOERUjv0tAXzUhjKvnIgpRjrKO9WEbkHUB9efXqSkzY7w4ohLjFSs5yAwuNczQ=w408-h544-k-no,,Hospitales,ChIJPWAuiXkwY48RI61aHTBFyi0,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
Hospital Veterinario Santa Fe,Hospital veterinario,San Salvador,+503 2224-0606,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Hospital Veterinario Santa Fe,13.684523,-89.2275301,,Hospital veterinario,Clínica Veterinaria,"Calle Los Granados 172, San Salvador, El Salvador",San Salvador,https://www.facebook.com/pages/Hospital-Veterinario-Santa-Fe/246681786896,4.2,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Santa%20Fe&query_place_id=ChIJr50qYkowY48RZYD8O8_kdA0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEogGzMU96IHPDRoqiKE7jvpl1jTJed23MP0ATz6tLZGeuBTrhiVuAOr1lz-fh_4C04xCCqH7Yxw0IyhJpQffMh4ew4n2Up20FqtGfCtii0fUSRFdXeJgUUbrnD0K337kHsv-IW=w426-h240-k-no,,Hospitales,ChIJr50qYkowY48RZYD8O8_kdA0,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
Hospital Veterinario VetK,Hospital veterinario,San Salvador,+503 2263-1321,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Hospital Veterinario VetK,13.7066823,-89.24863,,Hospital veterinario,Clínica Veterinaria,"7a Calle Poniente 5151, San Salvador, El Salvador",San Salvador,,4.6,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20VetK&query_place_id=ChIJ4bN1RuAvY48RcegAxKoGV68,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHozXVh8q7JK0vJD5xpr8qbaPP3luoDWh80GruMlsVhIMO9Etn8H6zV0UBtyJUMLuaDqylnxW-fxRv59F7Lb6t9cs0kc7o-eGTHavwuVFgLM6MI1GEqd-f6jC33At4vd1CRx_Ow9A=w408-h544-k-no,,Hospitales,ChIJ4bN1RuAvY48RcegAxKoGV68,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
Chivo Pets | Hospital Veterinario,Hospital veterinario,"Carr. Panamericana, El Salvador",,jueves: 7 AM a 8:30 PM; viernes: 7 AM a 8:30 PM; sábado: 7 AM a 8:30 PM; domingo: 7 AM a 8:30 PM; lunes: 7 AM a 8:30 PM; martes: 7 AM a 8:30 PM; miércoles: 7 AM a 8:30 PM,,Chivo Pets | Hospital Veterinario,13.6754534,-89.2521427,,Hospital veterinario,Clínica Veterinaria,"Carr. Panamericana, El Salvador",,https://chivopets.sv/,4.5,https://www.google.com/maps/search/?api=1&query=Chivo%20Pets%20%7C%20Hospital%20Veterinario&query_place_id=ChIJewh60cAvY48R6_xE99xTyGI,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG5QkTzjVZSsrKdmWFZlZTyhq4TjY0LdvwmKum-UUpi_jdcfi_kWbwDwfafJRWOU9JYh56l9X3TE0cMfq0_I3btuiQMsOh023hhcaN5l2j3OA8nt0-Rk93xcynr83fhu08ORTeJ=w408-h271-k-no,,Hospitales,ChIJewh60cAvY48R6_xE99xTyGI,jueves: 7 AM a 8:30 PM; viernes: 7 AM a 8:30 PM; sábado: 7 AM a 8:30 PM; domingo: 7 AM a 8:30 PM; lunes: 7 AM a 8:30 PM; martes: 7 AM a 8:30 PM; miércoles: 7 AM a 8:30 PM
Clinica Veterinaria Flores pet center,Hospital veterinario,Santa Ana,+503 2406-3237,jueves: 8 AM a 5 PM; viernes: 8 AM a 5 PM; sábado: 8 AM a 4 PM; domingo: Cerrado; lunes: 8 AM a 5 PM; martes: 8 AM a 5 PM; miércoles: 8 AM a 5 PM,,Clinica Veterinaria Flores pet center,13.997522,-89.5522227,,Hospital veterinario,Clínica Veterinaria,"11 Ave Norte, Santa Ana, El Salvador",Santa Ana,,4.1,https://www.google.com/maps/search/?api=1&query=Clinica%20Veterinaria%20Flores%20pet%20center&query_place_id=ChIJuYH2mxvpYo8RWXewj0p_2TA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG5A1MTeFd2MQgrbQdsOpGk1g5i9C7_4tVb0Mn4DUZyvIc7_Mv0itil6WSky36Xk2RoCAR1d59BCzSSxPh0rHOKhrsnEHBPFYLtmssIFPoOdHjWEwc0AogD_xuPB7r7YjFSrTOk=w408-h306-k-no,,Hospitales,ChIJuYH2mxvpYo8RWXewj0p_2TA,jueves: 8 AM a 5 PM; viernes: 8 AM a 5 PM; sábado: 8 AM a 4 PM; domingo: Cerrado; lunes: 8 AM a 5 PM; martes: 8 AM a 5 PM; miércoles: 8 AM a 5 PM
